player_name,player_number,count,avg(spi_score)
Aleksey Miranchuk,59,13,6.961538461538462
Ryan Raposo,7,10,6.959999999999999
Anthony Markanich,13,5,6.959999999999999
John McCarthy,77,23,6.956521739130435
Diego Fagundez,7,14,6.942857142857143
Matt Freese,49,22,6.940909090909091
Daniel Salloi,10,13,6.938461538461539
Daniel Rios,19,21,6.938095238095237
Hugo Cuypers,9,11,6.936363636363635
Ibrahim Aliyu,18,20,6.935
Tim Parker,26,6,6.933333333333334
David Ruiz,41,6,6.933333333333333
Kevin O'Toole,22,22,6.931818181818182
Cristian Olivera,13,17,6.929411764705883
Samuel Piette,6,11,6.927272727272728
Marco Delgado,8,20,6.925
Simon Becher,11,13,6.923076923076923
Claudio Bravo,5,13,6.923076923076923
Dominik Marczuk,11,11,6.918181818181819
Joaquin Pereyra,26,14,6.9071428571428575
Taha Habroune,16,1,6.9
Cristian Arango,9,16,6.9
Jacob Shaffelburg,14,11,6.9
Cole Bassett,23,9,6.9
Rémi Walter,54,10,6.9
Alexander Bono,24,1,6.9
Josef Martinez,17,8,6.9
Kristian Fletcher,27,1,6.9
DeJuan Jones,24,2,6.9
Shanyder Borgelin,49,1,6.9
Richie Laryea,22,7,6.8999999999999995
Nemanja Radoja,6,6,6.8999999999999995
Ryan Spaulding,34,3,6.8999999999999995
Joaquin Sosa,3,2,6.8999999999999995
Theodore Ku-DiPietro,21,17,6.899999999999999
Cameron Harper,17,20,6.899999999999999
Eduard Atuesta,20,19,6.894736842105263
Yuya Kubo,7,18,6.894444444444445
Maxime Chanot,25,25,6.892
DeJuan Jones,12,12,6.891666666666666
Diogo Goncalves,10,11,6.890909090909091
Khiry Shelton,11,9,6.888888888888889
Jahkeele Marshall-Rutty,11,9,6.888888888888889
Daniel,42,8,6.8875
Mikael Uhre,7,16,6.887499999999999
Maarten Paes,30,15,6.886666666666667
Ashley Westwood,8,22,6.886363636363637
Jon Gallagher,17,18,6.883333333333334
Kerwin Vargas,18,22,6.881818181818181
Noah Eile,3,16,6.88125
Nicholas Hagen,1,5,6.88
Andreu Fontàs,3,4,6.875
George Campbell,24,13,6.86923076923077
Sam Surridge,9,16,6.8687499999999995
Jahkeele Marshall-Rutty,7,3,6.866666666666667
Logan Ndenbe,18,6,6.866666666666666
Diego Chara,21,15,6.866666666666666
James Pantemis,41,9,6.866666666666665
Steve Clark,12,20,6.865
Justen Glad,15,14,6.864285714285715
Stian Gregersen,5,22,6.863636363636363
Alejandro Bedoya,11,16,6.8625
Corey Baird,11,5,6.859999999999999
Alan Pulido,9,12,6.858333333333333
Martin Ojeda,11,23,6.856521739130434
Daniel Pereira,6,18,6.855555555555556
Brandt Bronico,13,22,6.854545454545455
Benjamin Cremaschi,30,17,6.852941176470587
Patrickson Delgado,6,6,6.8500000000000005
Christian Ramirez,17,14,6.8500000000000005
Julian Aude,3,6,6.8500000000000005
Stephen Afrifa,30,10,6.85
Andrew Gutman,15,4,6.85
Mikkel Desler,3,8,6.85
Hector Martinez,14,9,6.844444444444444
Kellyn Acosta,23,12,6.841666666666666
Ajani Fortune,35,22,6.840909090909091
Tristan Blackmon,6,15,6.84
Luis Muriel,9,23,6.839130434782609
Vitor Costa,94,16,6.837500000000001
Tomas Aviles,6,17,6.835294117647059
Shane O'Neill,27,6,6.833333333333333
Nicksoen Gomis,15,3,6.833333333333333
Ruan,5,6,6.833333333333333
Steven Moreira,31,16,6.83125
Jesus Ferreira,10,13,6.8307692307692305
Sean Nealis,15,21,6.828571428571429
Jon Bell,15,7,6.828571428571428
Rodrigues,26,14,6.828571428571427
William Agada,23,12,6.825
Esmir Bajraktarevic,47,17,6.823529411764706
Iuri Tavares,38,9,6.822222222222222
Joao Klauss,9,14,6.821428571428572
Nkosi Tafari,17,14,6.821428571428571
Strahinja Tanasijevic,12,5,6.82
Ian Murphy,32,11,6.818181818181819
Griffin Dorsey,25,19,6.815789473684211
Darren Yapi,77,7,6.814285714285715
Deybi Flores,20,7,6.814285714285715
Carlos Akapo,29,15,6.8133333333333335
Carl Sainte,12,8,6.8125
Maren Haile-Selassie,7,8,6.812499999999999
Guilherme,29,12,6.8083333333333345
Brian Anunga,27,12,6.8
Enzo Copetti,9,3,6.8
Lorenzo Insigne,24,7,6.8
Joakim Nilsson,4,10,6.8
Akil Watts,20,10,6.8
Dominique Badji,14,2,6.8
Damion Lowe,17,2,6.8
Michael Wentzel,40,1,6.8
Nick Hagglund,4,2,6.8
Sebastien Ibeagha,25,19,6.794736842105263
Brayan Vera,4,15,6.793333333333334
Gaston Claudio Gimenez,30,12,6.791666666666667
Paul Marie,3,12,6.791666666666667
Zorhan Bassong,22,10,6.790000000000001
David Martinez,30,9,6.788888888888888
Roman Bürki,1,16,6.7875
Philip Quinton,26,11,6.781818181818182
Nick Lima,12,10,6.779999999999999
Sebastian Driussi,10,19,6.7789473684210515
Owen Wolff,33,18,6.777777777777778
Carlos Harvey,67,18,6.777777777777778
Logan Farrington,23,20,6.775
Bryan Oviedo,3,4,6.7749999999999995
Oliver Semmle,1,4,6.7749999999999995
Marco Farfan,4,19,6.773684210526315
David Ayala,24,14,6.771428571428571
Tsiki Ntsabeleng,16,17,6.7705882352941185
Diego Gomez,20,17,6.770588235294118
Tarik Scott,41,3,6.766666666666667
Alexander Ring,8,20,6.765000000000001
Tomas Totland,14,16,6.7625
Justin Haak,80,14,6.757142857142858
Oscar Verhoeven,33,7,6.757142857142857
Derrick Etienne,11,9,6.755555555555556
Ezequiel Ponce,10,15,6.753333333333334
Connor Ronan,20,14,6.750000000000001
Samuel Vines,3,12,6.75
Christian McFarlane,18,4,6.75
Cristhian Paredes,22,12,6.75
Samuel Adeniran,16,4,6.75
Mathieu Choiniere,29,2,6.75
Ruan,22,4,6.75
Noel Buck,29,2,6.75
Serhiy Kryvtsov,27,11,6.745454545454546
Ronald Donkor,48,11,6.745454545454544
Patrick Yazbek,15,7,6.742857142857142
Sam Adekugbe,3,17,6.741176470588235
Danny Leyva,75,5,6.74
DeAndre Yedlin,91,15,6.74
Gavin Beavers,35,5,6.74
Anderson Julio,29,18,6.738888888888888
Mathias Laborda,2,13,6.738461538461538
Sang-Bin Jeong,11,23,6.734782608695651
Andrew Privett,34,21,6.733333333333333
Joao Paulo,6,18,6.733333333333333
Aziel Jackson,25,3,6.733333333333333
Marlon,5,9,6.733333333333333
Alan Velasco,20,9,6.7333333333333325
Teal Bunbury,12,10,6.7299999999999995
Xherdan Shaqiri,10,4,6.725
David Brekalo,4,4,6.725
Bret Halsey,15,4,6.725
Gaston Brugman,5,12,6.724999999999999
Julio Cascante,18,17,6.723529411764706
Tayvon Gray,24,13,6.723076923076923
Gabriel Pirani,10,16,6.71875
Patrick Agyemang,33,23,6.717391304347826
Sam Junqua,29,18,6.705555555555557
Djibril Diani,28,18,6.705555555555555
Brad Guzan,1,22,6.704545454545454
Evan Bush,24,1,6.7
Ali Ahmed,22,16,6.7
Brad Stuver,1,20,6.7
Leon Flach,31,8,6.7
Sean Davis,54,7,6.7
Ronald Hernández,2,15,6.7
Joel Waterman,16,10,6.7
Lachlan Brook,17,3,6.7
Malachi Jones,88,3,6.7
Joshua Atencio,8,14,6.7
Martin Cáceres,22,2,6.7
Nathan,4,7,6.7
Ethan Bartlow,4,3,6.7
Mason Stajduhar,31,2,6.699999999999999
Bjørn Inge Utvik,15,14,6.699999999999998
Tristan Muyumba,8,23,6.695652173913044
Juan Mosquera,29,16,6.6937500000000005
Aaron Long,33,22,6.6909090909090905
Tyler Boyd,11,6,6.683333333333333
Rodrigo Adrián Schlegel,15,24,6.683333333333333
Nelson Palacio,13,11,6.681818181818182
Matthew Longstaff,8,11,6.681818181818182
Ilie Sanchez,6,15,6.680000000000001
Guilherme Biro,29,8,6.675
Jere Uronen,21,11,6.672727272727273
Peter Stroud,5,10,6.67
D.J. Taylor,27,9,6.666666666666668
Allan Arigoni,27,9,6.666666666666667
Jack Lynn,27,3,6.666666666666667
Luka Gavran,90,3,6.666666666666667
Robin Jansson,6,24,6.666666666666665
Tim Leibold,14,11,6.663636363636363
Tim Melia,29,8,6.6625000000000005
Gabriele Corbo,25,13,6.661538461538462
Jonathan Dean,24,7,6.657142857142857
Derrick Williams,3,23,6.656521739130435
Jayden Reid,99,9,6.655555555555556
Luca Langoni,41,13,6.653846153846154
Rafael Czichos,5,13,6.653846153846152
Alonso Martinez,16,20,6.650000000000001
Leo Väisänen,15,4,6.65
Lassi Lappalainen,21,4,6.65
Sebastian Anderson,22,2,6.65
Devin Padelford,2,6,6.6499999999999995
Dayne St. Clair,97,22,6.6499999999999995
Jules-Anthony Vilsaint,28,8,6.6499999999999995
Sebastian Berhalter,16,22,6.645454545454545
Christopher McVey,97,16,6.643749999999999
Xande Silva,16,21,6.642857142857143
Leonardo Campana,8,12,6.633333333333334
Matt Miazga,21,3,6.633333333333333
Ranko Veselinovic,4,22,6.631818181818182
Bongokuhle Hlongwane,21,23,6.630434782608695
Maxime Crepeau,16,7,6.628571428571428
Daniel Rosero,5,7,6.628571428571428
Sergio Santos,17,15,6.626666666666667
Jonathan Sirois,40,13,6.6230769230769235
Chris Brady,34,13,6.623076923076923
Sebastian Kowalczyk,27,18,6.622222222222222
Drake Callender,1,19,6.621052631578946
Kevin Long,5,5,6.62
Patrick Schulte,28,16,6.6187499999999995
Teemu Pukki,22,11,6.618181818181818
Peyton Miller,25,12,6.616666666666666
Omar Campos,2,15,6.613333333333332
Dylan Borrero,11,13,6.607692307692307
Dax McCarty,13,16,6.60625
Tani Oluwaseyi,14,16,6.600000000000001
Nacho Gil,21,7,6.6000000000000005
Victor Wanyama,2,3,6.6000000000000005
Fernando Álvarez,4,9,6.6000000000000005
Olivier Mbaizo,15,9,6.6000000000000005
Jaylin Lindsey,24,1,6.6
Isaiah Parente,52,2,6.6
Ariel Lassiter,11,4,6.6
Tom Pearce,46,7,6.6
Lawson Sunderland,43,1,6.6
Efrain Morales,21,1,6.6
Rudy Camacho,4,18,6.594444444444445
Raul Ruidiaz,9,11,6.590909090909091
Sean Johnson,1,8,6.5875
Kévin Cabral,91,8,6.5874999999999995
Nökkvi Thorisson,29,15,6.586666666666665
Wikelman Carmona,19,7,6.585714285714286
Zac McGraw,18,6,6.583333333333333
Birk Risa,5,11,6.581818181818182
Nicolás Lodeiro,14,25,6.58
Andrew Brody,2,9,6.577777777777778
Danley Jean Jacques,21,8,6.575
Miguel Araujo,2,8,6.575
Brooklyn Raines,35,13,6.56923076923077
Matti Peltola,4,19,6.56842105263158
Franco Fragapane,7,6,6.566666666666666
Kevin Kelsy,19,12,6.566666666666666
Olivier Giroud,9,20,6.565
Raheem Edwards,44,8,6.5625
Benjamin Kikanovic,28,5,6.5600000000000005
Nathan Saliba,19,10,6.5600000000000005
Indiana Vassilev,19,12,6.558333333333334
Tyrese Spicer,16,7,6.557142857142858
Chris Mueller,8,11,6.554545454545454
Boris Enow,5,11,6.554545454545454
Reed Baker-Whiting,21,16,6.550000000000001
Ján Gregus,21,2,6.55
Henry Kessler,5,9,6.544444444444445
Prince Osei Owusu,99,9,6.544444444444444
Jackson Yueill,14,17,6.541176470588234
Alessandro Schöpf,8,20,6.540000000000001
Sigurd Rosted,17,10,6.540000000000001
Brandon Servania,23,3,6.533333333333334
Orrin McKinze Gaines,17,3,6.533333333333334
Brent Kallman,44,3,6.533333333333334
Forster Ajago,21,6,6.533333333333334
Robert Castellanos,19,7,6.528571428571429
Jannes-Kilian Horn,38,11,6.527272727272727
Duncan McGuire,13,22,6.527272727272727
Walker Zimmerman,25,15,6.526666666666667
Kyle Hiebert,22,8,6.525
Alex Bono,24,18,6.522222222222222
Matt Hedges,2,5,6.5200000000000005
Kwadwo Opoku,7,10,6.5200000000000005
David Schnegg,28,5,6.5200000000000005
Andres Perea,8,18,6.516666666666667
Cristian Dajome,11,20,6.515000000000001
Maikel Chang Ramirez,16,7,6.514285714285714
Mark-Anthony Kaye,28,8,6.5125
Diego Rubio,14,18,6.511111111111112
Eric Miller,15,9,6.511111111111112
Miguel Tapias,4,11,6.50909090909091
Alhassan Yusuf,80,11,6.509090909090909
Ema Twumasi,22,14,6.507142857142857
Pedro De la Vega,10,26,6.503846153846154
Federico Navarro,31,7,6.500000000000001
Brecht Dejaeghere,10,5,6.5
Michael Edwards,34,2,6.5
Steven Birnbaum,15,2,6.5
Philip Quinton,2,1,6.5
Finn Surman,20,3,6.5
Jefferson Diaz,28,16,6.5
Liam Fraser,18,3,6.5
Conner Antley,12,1,6.5
Luke Brennan,25,1,6.5
Moses Nyeman,44,1,6.5
Jeremy Rafanello,14,4,6.5
Hosei Kijima,85,7,6.5
Andrew Farrell,88,1,6.5
Noel Caliskan,92,3,6.5
Andres Jasson,21,1,6.5
Kei Ansu Kamara,23,19,6.4947368421052625
Keegan Rosenberry,2,16,6.49375
Latif Blessing,15,14,6.492857142857143
Niko Tsakiris,30,16,6.4875
Kyle Duncan,6,7,6.485714285714286
Brendan Hines-Ike,4,16,6.4750000000000005
Fabrice Picault,11,20,6.475
Calvin Harris,14,15,6.473333333333333
Carlos Teran,4,7,6.471428571428571
Robert Voloder,4,10,6.469999999999999
Nikola Petkovic,23,6,6.466666666666668
Bobby Wood,17,9,6.466666666666667
Noah Cobb,24,6,6.466666666666666
Dru Yearwood,16,8,6.4624999999999995
Carlos Gruezo,7,13,6.461538461538462
Felipe,8,5,6.459999999999999
Andrés Cubas,20,18,6.45
Jesus Bueno,20,4,6.45
Gyasi Zardes,9,12,6.449999999999999
Hector Jimenez,16,6,6.449999999999999
Ian Harkes,14,12,6.449999999999999
Jader Obrian,11,19,6.447368421052632
Lalas Abubakar,6,11,6.445454545454546
Matias Coccaro,9,9,6.444444444444444
Brian White,24,20,6.44
Jasper Löffelsend,21,5,6.44
John Pulskamp,1,5,6.44
Josh Bauer,22,8,6.4375
Tomas Ostrak,7,3,6.433333333333334
Loic Mesanvi,90,3,6.433333333333333
Amahl Pellegrino,9,16,6.43125
Tobias Salquist,14,7,6.428571428571429
Jackson Hopkins,25,8,6.425
Jonathan Perez,24,7,6.414285714285714
Ralph Priso-Mbongue,13,10,6.409999999999999
Omir Fernandez,11,17,6.405882352941178
Kyle Smith,24,13,6.400000000000001
Kobe Franklin,19,7,6.4
Jordan Adebayo-Smith,99,1,6.4
Omar Gonzalez,3,4,6.4
Njabulo Blom,6,2,6.4
Giuseppe Bovalina,27,2,6.4
Tomas Pondeca,35,2,6.4
Kévin Cabral,49,1,6.4
Eryk Williamson,19,13,6.392307692307692
Luis Abram,4,10,6.39
Tanner Beason,15,10,6.39
Jacob Murrell,17,11,6.381818181818182
Fidel Barajas,17,5,6.38
Bernard Kamungo,77,18,6.372222222222223
Jacen Russell-Rowe,19,14,6.364285714285714
Deandre Kerr,29,8,6.362500000000001
Yaw Yeboah,14,5,6.359999999999999
Edier Ocampo,18,7,6.357142857142857
Kamal Miller,4,7,6.357142857142857
Jack Skahan,16,9,6.344444444444444
Rasmus Alm,21,11,6.336363636363637
Aime Mabika,6,3,6.333333333333333
Ben Bender,15,3,6.333333333333333
Yohei Takaoka,1,20,6.329999999999999
Andreas Maxsø,5,17,6.329411764705883
Emmanuel Boateng,18,8,6.325
Tyler Wolff,28,4,6.325
Mauricio Cuevas,19,4,6.325
Jhojan Valencia,5,15,6.320000000000001
Deiber Caicedo,23,5,6.319999999999999
Gerardo Valenzuela,22,6,6.316666666666666
Mitja Ilenic,35,15,6.3133333333333335
Brad Smith,3,4,6.300000000000001
Caden Clark,37,7,6.3
Omari Glasgow,55,2,6.3
Samuel Adeniran,9,6,6.3
Matt Polster,8,15,6.3
Jake Girdwood-Reich,3,4,6.3
Randall Leal,8,2,6.3
Ryan Sailor,15,4,6.3
Lawrence Ennali,37,1,6.3
Daniel Aguirre,37,2,6.3
Chris Donovan,25,1,6.3
Nickseon Gomis,15,3,6.3
Danny Musovski,17,7,6.3
Jack Panayotou,22,1,6.3
Erik Duenas,18,1,6.3
Michael Boxall,15,22,6.290909090909091
Agustin Ojeda,26,5,6.28
Raoul Petretta,28,8,6.275
Alenis Vargas,20,8,6.275
Amar Sejdic,6,4,6.275
Tom Barlow,12,7,6.271428571428571
Justin Reynolds,36,6,6.266666666666667
Edwin Mosquera,20,6,6.266666666666667
Johnny Klein,41,3,6.266666666666667
Kosi Thompson,47,8,6.262500000000001
Xavier Arreaga,3,18,6.26111111111111
Dawid Bugaj,27,5,6.260000000000001
Nicholas Gioacchini,9,9,6.2555555555555555
Emiliano Ariel Rigoni,7,2,6.25
Zan Kolmanic,23,2,6.25
Dennis Gjengaar,2,6,6.25
Zack Steffen,95,17,6.241176470588236
Georgios Koutsias,19,10,6.24
Giacomo Vrioni,9,17,6.235294117647059
Dante Sealy,11,3,6.233333333333333
Wyatt Omsberg,16,3,6.233333333333333
Tim Parker,27,7,6.228571428571429
Arnaud Souquet,2,11,6.218181818181819
Eddie Segura,4,17,6.211764705882352
Isaac Boehmer,32,2,6.2
Jakob Nerwinski,2,3,6.2
Daniel Lovitz,2,14,6.2
Yutaro Tsukada,34,2,6.2
Gabriel Segal,17,1,6.2
Marino Hinestroza,11,1,6.2
Nikolas Dyhr,44,2,6.2
Michael Halliday,26,1,6.2
Jamie Paterson,7,2,6.2
Derrick Jones,5,5,6.2
Julian Hall,16,2,6.2
Alec Kann,1,1,6.2
Brandon Cambridge,36,2,6.2
Caden Glover,46,1,6.2
Kipp Keller,14,1,6.2
Tyger Smalls,25,4,6.199999999999999
Tate Schmitt,22,2,6.199999999999999
Reggie Cannon,4,11,6.199999999999999
Cory Burke,7,6,6.199999999999999
Bruno Wilson,4,9,6.199999999999999
Mason Toye,13,3,6.199999999999999
Julian Fernandez,11,9,6.166666666666667
Joe Willis,1,14,6.164285714285713
McKinze Gaines,14,8,6.1625
Aljaz Ivacic,31,18,6.155555555555555
Jack Maher,5,12,6.150000000000001
Thomas McNamara,26,2,6.15
Damir Kreilach,19,4,6.15
Nathan Fogaca,99,2,6.15
Dominique Badji,23,11,6.145454545454545
Jovan Mijatovic,7,5,6.140000000000001
Oleksandr Svatok,21,5,6.14
Garrison Tubbs,16,5,6.139999999999999
William Yarbrough,25,9,6.133333333333333
Dominik Yankov,8,4,6.124999999999999
Miguel Berry,27,9,6.111111111111111
Alejandro Bran,25,3,6.1000000000000005
Alfredo Morales,6,3,6.1000000000000005
Henry Wingo,30,4,6.1
Jonathan Lewis,7,11,6.081818181818181
David Romney,2,13,6.076923076923077
Monsef Bakrar,9,9,6.066666666666667
Preston Judd,19,4,6.050000000000001
Daniel Munie,24,4,6.050000000000001
Mauricio Pineda,22,6,6.05
Novak Micovic,35,2,6.05
Ethan Finlay,13,9,6.044444444444444
Eugene Ansah,31,10,6.04
Junior Moreno,24,1,6.0
Brandon Bye,15,9,6.0
Zarek Valentin,3,1,6.0
Felipe Hernandez,21,1,6.0
Ryan Meara,18,1,6.0
Jean Mota,7,1,6.0
Rida Zouhir,18,1,6.0
Levonte Johnson,28,4,5.975
Kayden Pierre,24,3,5.966666666666666
Luis Martins,14,5,5.959999999999999
Scott Arfield,37,2,5.95
Serge Ngoma,22,3,5.933333333333334
