player_name,player_number,count,avg(spi_score)
Diego Fagundez,7,14,6.942857142857143
Daniel Rios,19,21,6.938095238095237
Hugo Cuypers,9,11,6.9363636363636365
Ibrahim Aliyu,18,20,6.935
Tim Parker,26,6,6.933333333333334
David Ruiz,41,6,6.933333333333333
Marco Reus,18,16,6.93125
Joaquin Pereyra,26,13,6.930769230769231
Cristian Olivera,13,17,6.929411764705883
Samuel Piette,6,11,6.927272727272728
Claudio Bravo,5,13,6.923076923076922
Ashley Westwood,8,21,6.9190476190476184
Dominik Marczuk,11,11,6.918181818181819
Joao Klauss,9,17,6.905882352941177
Theodore Ku-DiPietro,21,17,6.9
Cameron Harper,17,20,6.9
Jacob Shaffelburg,14,11,6.9
Cole Bassett,23,9,6.9
DeJuan Jones,24,2,6.9
Josef Martinez,17,8,6.9
Alexander Bono,24,1,6.9
Kristian Fletcher,27,1,6.9
Shanyder Borgelin,49,1,6.9
Taha Habroune,16,1,6.9
Cristian Arango,9,16,6.8999999999999995
Nemanja Radoja,6,6,6.8999999999999995
Richie Laryea,22,7,6.8999999999999995
Ryan Spaulding,34,3,6.8999999999999995
Joaquin Sosa,3,2,6.8999999999999995
Eduard Atuesta,20,19,6.894736842105263
Yuya Kubo,7,18,6.894444444444444
Maxime Chanot,25,25,6.892000000000001
DeJuan Jones,12,12,6.891666666666667
Diogo Goncalves,10,11,6.890909090909091
Jahkeele Marshall-Rutty,11,9,6.888888888888889
Daniel,42,8,6.8875
Maarten Paes,30,15,6.886666666666667
Roman Bürki,1,19,6.8842105263157904
Jon Gallagher,17,18,6.883333333333334
Johnny Russell,7,11,6.881818181818182
Noah Eile,3,16,6.88125
Leon Flach,31,10,6.88
Nicholas Hagen,1,5,6.88
Brandt Bronico,13,21,6.876190476190477
Andreu Fontàs,3,4,6.875
Kyle Hiebert,22,11,6.872727272727272
Carlos Harvey,67,17,6.870588235294118
George Campbell,24,13,6.869230769230769
Sam Surridge,9,16,6.86875
Diego Chara,21,15,6.866666666666668
Jahkeele Marshall-Rutty,7,3,6.866666666666667
Kerwin Vargas,18,21,6.866666666666666
James Pantemis,41,9,6.866666666666666
Steve Clark,12,20,6.865
Justen Glad,15,14,6.864285714285714
Stian Gregersen,5,22,6.863636363636363
Corey Baird,11,5,6.859999999999999
Daniel Pereira,6,18,6.855555555555556
Memo Rodriguez,8,11,6.854545454545455
Martin Ojeda,11,22,6.854545454545455
Benjamin Cremaschi,30,17,6.852941176470588
Christian Ramirez,17,14,6.8500000000000005
Mikkel Desler,3,8,6.85
Andrew Gutman,15,4,6.85
Patrickson Delgado,6,6,6.849999999999999
Julian Aude,3,6,6.849999999999999
Hector Martinez,14,9,6.844444444444445
Kellyn Acosta,23,12,6.841666666666666
Ajani Fortune,35,22,6.840909090909093
Tristan Blackmon,6,15,6.840000000000001
Vitor Costa,94,16,6.8375
Olivier Mbaizo,15,11,6.836363636363638
Tomas Aviles,6,17,6.835294117647059
Shane O'Neill,27,6,6.833333333333333
Nicksoen Gomis,15,3,6.833333333333333
Ruan,5,6,6.833333333333332
Steven Moreira,31,16,6.831250000000001
Rémi Walter,54,13,6.83076923076923
Jesus Ferreira,10,13,6.83076923076923
Sean Nealis,15,21,6.828571428571429
Rodrigues,26,14,6.828571428571428
Jon Bell,15,7,6.828571428571428
Luis Muriel,9,22,6.827272727272727
Esmir Bajraktarevic,47,17,6.8235294117647065
Iuri Tavares,38,9,6.822222222222223
Nkosi Tafari,17,14,6.821428571428571
Daniel Salloi,10,16,6.8187500000000005
Ian Murphy,32,11,6.818181818181818
Griffin Dorsey,25,19,6.815789473684211
Darren Yapi,77,7,6.814285714285715
Deybi Flores,20,7,6.814285714285715
Carlos Akapo,29,15,6.8133333333333335
Carl Sainte,12,8,6.8125
Maren Haile-Selassie,7,8,6.8125
Guilherme,29,12,6.808333333333334
Simon Becher,11,16,6.8062499999999995
Brian Anunga,27,12,6.800000000000001
Nick Hagglund,4,2,6.8
Enzo Copetti,9,3,6.8
Joakim Nilsson,4,10,6.8
Michael Wentzel,40,1,6.8
Lorenzo Insigne,24,7,6.8
Dominique Badji,14,2,6.8
Damion Lowe,17,2,6.8
Sebastien Ibeagha,25,19,6.794736842105263
Brayan Vera,4,15,6.793333333333334
Paul Marie,3,12,6.791666666666667
Gaston Claudio Gimenez,30,12,6.791666666666667
David Martinez,30,9,6.788888888888889
Philip Quinton,26,11,6.781818181818182
Nick Lima,12,10,6.779999999999999
Sebastian Driussi,10,19,6.7789473684210515
Owen Wolff,33,18,6.777777777777778
Logan Farrington,23,20,6.775
Bryan Oviedo,3,4,6.7749999999999995
Oliver Semmle,1,4,6.7749999999999995
Marco Farfan,4,19,6.773684210526317
David Ayala,24,14,6.7714285714285705
Tsiki Ntsabeleng,16,17,6.770588235294118
Diego Gomez,20,17,6.770588235294118
Tomas Totland,14,19,6.76842105263158
Tarik Scott,41,3,6.766666666666667
Alexander Ring,8,20,6.765000000000001
Sang-Bin Jeong,11,22,6.763636363636365
Justin Haak,80,14,6.757142857142858
Oscar Verhoeven,33,7,6.757142857142857
Derrick Etienne,11,9,6.7555555555555555
Ezequiel Ponce,10,15,6.753333333333334
Connor Ronan,20,14,6.750000000000001
Cristhian Paredes,22,12,6.75
Samuel Adeniran,16,4,6.75
Samuel Vines,3,12,6.75
