player_name,player_number,count,avg(spi_score),matches_scaled,spi_scaled
Mikael Uhre,7,18,6.944444444444444,0.6206896551724138,0.807
Alejandro Bedoya,11,18,6.944444444444444,0.6206896551724138,0.807
Diego Fagundez,7,14,6.942857142857143,0.4827586206896552,0.807
Daniel Rios,19,21,6.938095238095237,0.7241379310344828,0.807
Ibrahim Aliyu,18,20,6.935,0.6896551724137931,0.806
Marco Reus,18,16,6.93125,0.5517241379310345,0.806
Cristian Olivera,13,17,6.929411764705883,0.5862068965517241,0.806
Ashley Westwood,8,21,6.9190476190476184,0.7241379310344828,0.805
Joao Klauss,9,17,6.905882352941177,0.5862068965517241,0.803
Theodore Ku-DiPietro,21,17,6.9,0.5862068965517241,0.802
Cameron Harper,17,20,6.9,0.6896551724137931,0.802
Cristian Arango,9,16,6.8999999999999995,0.5517241379310345,0.802
Eduard Atuesta,20,19,6.894736842105263,0.6551724137931034,0.802
Yuya Kubo,7,18,6.894444444444444,0.6206896551724138,0.802
Maxime Chanot,25,25,6.892000000000001,0.8620689655172413,0.801
Maarten Paes,30,15,6.886666666666667,0.5172413793103449,0.801
Roman Bürki,1,19,6.8842105263157904,0.6551724137931034,0.8
Jon Gallagher,17,18,6.883333333333334,0.6206896551724138,0.8
Noah Eile,3,16,6.88125,0.5517241379310345,0.8
Brandt Bronico,13,21,6.876190476190477,0.7241379310344828,0.8
Carlos Harvey,67,17,6.870588235294118,0.5862068965517241,0.799
Sam Surridge,9,16,6.86875,0.5517241379310345,0.799
Diego Chara,21,15,6.866666666666668,0.5172413793103449,0.798
Kerwin Vargas,18,21,6.866666666666666,0.7241379310344828,0.798
Steve Clark,12,20,6.865,0.6896551724137931,0.798
Justen Glad,15,14,6.864285714285714,0.4827586206896552,0.798
Stian Gregersen,5,22,6.863636363636363,0.7586206896551724,0.798
Daniel Pereira,6,18,6.855555555555556,0.6206896551724138,0.797
Martin Ojeda,11,22,6.854545454545455,0.7586206896551724,0.797
Benjamin Cremaschi,30,17,6.852941176470588,0.5862068965517241,0.797
Christian Ramirez,17,14,6.8500000000000005,0.4827586206896552,0.797
Ajani Fortune,35,22,6.840909090909093,0.7586206896551724,0.795
Tristan Blackmon,6,15,6.840000000000001,0.5172413793103449,0.795
Vitor Costa,94,16,6.8375,0.5517241379310345,0.795
Tomas Aviles,6,17,6.835294117647059,0.5862068965517241,0.795
Steven Moreira,31,16,6.831250000000001,0.5517241379310345,0.794
Sean Nealis,15,21,6.828571428571429,0.7241379310344828,0.794
Rodrigues,26,14,6.828571428571428,0.4827586206896552,0.794
Luis Muriel,9,22,6.827272727272727,0.7586206896551724,0.794
Esmir Bajraktarevic,47,17,6.8235294117647065,0.5862068965517241,0.793
Nkosi Tafari,17,14,6.821428571428571,0.4827586206896552,0.793
Daniel Salloi,10,16,6.8187500000000005,0.5517241379310345,0.793
Griffin Dorsey,25,19,6.815789473684211,0.6551724137931034,0.793
Carlos Akapo,29,15,6.8133333333333335,0.5172413793103449,0.792
Simon Becher,11,16,6.8062499999999995,0.5517241379310345,0.791
