player_name,player_number,count,avg(spi_score),matches_scaled,spi_scaled,euclidean_distance
Alonso Martinez,16,20,6.650000000000001,0.6896551724137931,0.097,0.9548418256494174
Zac MacMath,18,14,7.135714285714286,0.4827586206896552,0.196,0.9560097512425635
Owen Wolff,33,18,6.777777777777778,0.6206896551724138,0.117,0.9610230682419763
Carlos Harvey,67,18,6.777777777777778,0.6206896551724138,0.117,0.9610230682419763
Benjamin Cremaschi,30,17,6.852941176470587,0.5862068965517241,0.131,0.9624893414793514
Martin Rodriguez,14,14,7.107142857142857,0.4827586206896552,0.188,0.962747445839701
Tomas Aviles,6,17,6.835294117647059,0.5862068965517241,0.127,0.9661023405733761
Olivier Giroud,9,20,6.565,0.6896551724137931,0.085,0.9661981742942348
Jeremy Ebobisse,11,15,7.0,0.5172413793103449,0.162,0.9671090351403911
Anderson Julio,29,18,6.738888888888888,0.6206896551724138,0.11,0.9674587007687834
Joao Paulo,6,18,6.733333333333333,0.6206896551724138,0.11,0.9674587007687834
Esmir Bajraktarevic,47,17,6.823529411764706,0.5862068965517241,0.125,0.9679099815898975
Alessandro Schöpf,8,20,6.540000000000001,0.6896551724137931,0.082,0.9690396854667576
Cristian Arango,9,16,6.9,0.5517241379310345,0.14,0.9698202145313708
Drake Callender,1,19,6.621052631578946,0.6551724137931034,0.093,0.9703376032130645
Tim Ream,3,15,6.986666666666667,0.5172413793103449,0.158,0.9705770890816341
Djordje Mihailovic,10,15,6.98,0.5172413793103449,0.157,0.9714447415320021
Cristian Dajome,11,20,6.515000000000001,0.6896551724137931,0.079,0.9718821492390487
Sam Junqua,29,18,6.705555555555557,0.6206896551724138,0.105,0.9720603570217347
Djibril Diani,28,18,6.705555555555555,0.6206896551724138,0.105,0.9720603570217347
Mikael Uhre,7,16,6.887499999999999,0.5517241379310345,0.137,0.9724814900622398
Noah Eile,3,16,6.88125,0.5517241379310345,0.136,0.973369019700994
Jonathan Rodriguez,14,14,7.057142857142857,0.4827586206896552,0.175,0.9737369482929503
Michael Boxall,15,22,6.290909090909091,0.7586206896551724,0.056,0.9743715777169121
Sam Surridge,9,16,6.8687499999999995,0.5517241379310345,0.134,0.9751447320852809
Tsiki Ntsabeleng,16,17,6.7705882352941185,0.5862068965517241,0.116,0.9760536524501897
Diego Gomez,20,17,6.770588235294118,0.5862068965517241,0.116,0.9760536524501897
Jakob Glesnes,5,14,7.042857142857144,0.4827586206896552,0.172,0.9762800031091838
Fabrice Picault,11,20,6.475,0.6896551724137931,0.074,0.9766216831555158
Alejandro Bedoya,11,16,6.8625,0.5517241379310345,0.132,0.9769213113212722
Matti Peltola,4,19,6.56842105263158,0.6551724137931034,0.085,0.9778195458310673
Brian White,24,20,6.44,0.6896551724137931,0.07,0.9804151732860484
Vitor Costa,94,16,6.837500000000001,0.5517241379310345,0.128,0.9804770514977258
Sam Adekugbe,3,17,6.741176470588235,0.5862068965517241,0.111,0.9805843831416834
Steven Moreira,31,16,6.83125,0.5517241379310345,0.127,0.9813665209867688
Sebastian Kowalczyk,27,18,6.622222222222222,0.6206896551724138,0.093,0.9831202051088271
Julio Cascante,18,17,6.723529411764706,0.5862068965517241,0.108,0.9833050047982852
Miles Robinson,12,14,7.007142857142857,0.4827586206896552,0.163,0.9839246132051317
Kei Ansu Kamara,23,19,6.4947368421052625,0.6551724137931034,0.076,0.9862464520642266
Rudy Camacho,4,18,6.594444444444445,0.6206896551724138,0.089,0.9868117032611755
Felipe Mora,9,14,6.985714285714286,0.4827586206896552,0.158,0.9881814835701324
Roman Bürki,1,16,6.7875,0.5517241379310345,0.119,0.9884898828585319
Maarten Paes,30,15,6.886666666666667,0.5172413793103449,0.137,0.9888502848511388
Yohei Takaoka,1,20,6.329999999999999,0.6896551724137931,0.059,0.9908556464034065
Jader Obrian,11,19,6.447368421052632,0.6551724137931034,0.071,0.9909324216157602
Diego Chara,21,15,6.866666666666666,0.5172413793103449,0.133,0.9923431290890153
Tomas Totland,14,16,6.7625,0.5517241379310345,0.114,0.9929487642943488
Alex Bono,24,18,6.522222222222222,0.6206896551724138,0.08,0.9951262923334014
Diego Fagundez,7,14,6.942857142857143,0.4827586206896552,0.149,0.995861257641278
Andres Perea,8,18,6.516666666666667,0.6206896551724138,0.079,0.9960508710368273
Tristan Blackmon,6,15,6.84,0.5172413793103449,0.128,0.9967145458205063
Diego Rubio,14,18,6.511111111111112,0.6206896551724138,0.078,0.9969755953348218
Gabriel Pirani,10,16,6.71875,0.5517241379310345,0.107,0.999199804100098
Carlos Akapo,29,15,6.8133333333333335,0.5172413793103449,0.123,1.001091846860306
Ali Ahmed,22,16,6.7,0.5517241379310345,0.104,1.001881853570407
Joaquin Pereyra,26,14,6.9071428571428575,0.4827586206896552,0.141,1.0027061605828838
Juan Mosquera,29,16,6.6937500000000005,0.5517241379310345,0.103,1.0027762704181198
Andrés Cubas,20,18,6.45,0.6206896551724138,0.071,1.003452708249483
Brayan Vera,4,15,6.793333333333334,0.5172413793103449,0.12,1.0037210199304278
Jackson Yueill,14,17,6.541176470588234,0.5862068965517241,0.082,1.006950213496852
Christopher McVey,97,16,6.643749999999999,0.5517241379310345,0.096,1.0090427386952816
Justen Glad,15,14,6.864285714285715,0.4827586206896552,0.133,1.0095680484597698
Ezequiel Ponce,10,15,6.753333333333334,0.5172413793103449,0.113,1.0098637956923588
Bernard Kamungo,77,18,6.372222222222223,0.6206896551724138,0.063,1.010863659299919
DeAndre Yedlin,91,15,6.74,0.5172413793103449,0.111,1.0116209200338724
Christian Ramirez,17,14,6.8500000000000005,0.4827586206896552,0.13,1.012145564862519
Patrick Schulte,28,16,6.6187499999999995,0.5517241379310345,0.092,1.0126278924233099
Dax McCarty,13,16,6.60625,0.5517241379310345,0.091,1.0135246659621433
Tani Oluwaseyi,14,16,6.600000000000001,0.5517241379310345,0.09,1.0144216325146433
Rodrigues,26,14,6.828571428571427,0.4827586206896552,0.126,1.0155858626777294
Joao Klauss,9,14,6.821428571428572,0.4827586206896552,0.125,1.0164465772832667
Nkosi Tafari,17,14,6.821428571428571,0.4827586206896552,0.125,1.0164465772832667
Ronald Hernández,2,15,6.7,0.5172413793103449,0.104,1.0177779157803426
Xavier Arreaga,3,18,6.26111111111111,0.6206896551724138,0.053,1.0201398618293582
Ilie Sanchez,6,15,6.680000000000001,0.5172413793103449,0.101,1.020419955631101
Omir Fernandez,11,17,6.405882352941178,0.5862068965517241,0.067,1.020643783335477
Reed Baker-Whiting,21,16,6.550000000000001,0.5517241379310345,0.083,1.020705760008081
David Ayala,24,14,6.771428571428571,0.4827586206896552,0.116,1.024204395846292
Jefferson Diaz,28,16,6.5,0.5517241379310345,0.077,1.0260995314849697
Justin Haak,80,14,6.757142857142858,0.4827586206896552,0.113,1.0267948404968092
Keegan Rosenberry,2,16,6.49375,0.5517241379310345,0.076,1.0269991472799158
Niko Tsakiris,30,16,6.4875,0.5517241379310345,0.076,1.0269991472799158
Sergio Santos,17,15,6.626666666666667,0.5172413793103449,0.093,1.027475004975877
Aljaz Ivacic,31,18,6.155555555555555,0.6206896551724138,0.045,1.0275705998583369
Connor Ronan,20,14,6.750000000000001,0.4827586206896552,0.112,1.0276588171523018
Andreas Maxsø,5,17,6.329411764705883,0.5862068965517241,0.059,1.0279619314261377
Brendan Hines-Ike,4,16,6.4750000000000005,0.5517241379310345,0.074,1.028798934930278
Omar Campos,2,15,6.613333333333332,0.5172413793103449,0.091,1.0292409270186347
Nökkvi Thorisson,29,15,6.586666666666665,0.5172413793103449,0.088,1.03189141185019
Amahl Pellegrino,9,16,6.43125,0.5517241379310345,0.069,1.0333016251384077
Joshua Atencio,8,14,6.7,0.4827586206896552,0.104,1.0345794529521974
Bjørn Inge Utvik,15,14,6.699999999999998,0.4827586206896552,0.104,1.0345794529521974
Zack Steffen,95,17,6.241176470588236,0.5862068965517241,0.051,1.0352901682433555
Giacomo Vrioni,9,17,6.235294117647059,0.5862068965517241,0.051,1.0352901682433555
Eddie Segura,4,17,6.211764705882352,0.5862068965517241,0.049,1.0371237787561114
Walker Zimmerman,25,15,6.526666666666667,0.5172413793103449,0.08,1.0389686645179335
Calvin Harris,14,15,6.473333333333333,0.5172413793103449,0.074,1.0442853469479396
Ema Twumasi,22,14,6.507142857142857,0.4827586206896552,0.078,1.0571767328459647
Jhojan Valencia,5,15,6.320000000000001,0.5172413793103449,0.058,1.0584988832541007
Mitja Ilenic,35,15,6.3133333333333335,0.5172413793103449,0.058,1.0584988832541007
